tf_name	source	dbd_call	n_entries	mean_enrichment
ALX3	DBD	MethylPlus	1	0.5
CDX4	DBD	MethylPlus	1	1.64705872
CEBPB	DBD	MethylPlus	1	0.14827597
CEBPE	DBD	MethylPlus	1	0.12007153
EGR4	DBD	MethylPlus	1	0.2030077
EN1	DBD	MethylPlus	1	0.16666662
EN2	DBD	MethylPlus	1	-0.18181837
ESR1	DBD	MethylPlus	1	0.91489395
FOXG1	DBD	MethylPlus	1	-0.20440256
FOXJ3	DBD	MethylPlus	1	0.12636185
GRHL1	DBD	MethylPlus	1	0.15395296
GSX2	DBD	MethylPlus	1	0.83492828
HOXA10	DBD	MethylPlus	1	0.36558296
HOXA11	DBD	MethylPlus	1	0.6231588
HOXA13	DBD	MethylPlus	1	1.27999969
HOXA4	DBD	MethylPlus	1	0.02623892
HOXA5	DBD	MethylPlus	1	-0.02564096
HOXA6	DBD	MethylPlus	1	0.21311474
HOXA7	DBD	MethylPlus	1	0.18113911
HOXB1	DBD	MethylPlus	1	-0.16666656
HOXB2	DBD	MethylPlus	1	1.0555558
HOXB5	DBD	MethylPlus	1	-0.22424252
HOXB6	DBD	MethylPlus	1	0.02824855
HOXB7	DBD	MethylPlus	1	0.16363632
HOXB8	DBD	MethylPlus	1	1.23809502
HOXB9	DBD	MethylPlus	1	0.53014351
HOXC10	DBD	MethylPlus	1	0.35531139
HOXC11	DBD	MethylPlus	1	0.29514576
HOXC12	DBD	MethylPlus	1	0.6610173
HOXC13	DBD	MethylPlus	1	0.91208801
HOXC4	DBD	MethylPlus	1	-0.04255307
HOXD1	DBD	MethylPlus	1	-0.35294117
HOXD10	DBD	MethylPlus	1	0.61172188
HOXD11	DBD	MethylPlus	1	1.1937323
HOXD12	DBD	MethylPlus	1	0.37254883
HOXD13	DBD	MethylPlus	1	1.07450081
HOXD4	DBD	MethylPlus	1	0.69696976
HOXD8	DBD	MethylPlus	1	0.77966095
IRF6	DBD	MethylPlus	1	0.18181801
IRX1	DBD	MethylPlus	1	0.42857124
IRX3	DBD	MethylPlus	1	1.81200027
IRX5	DBD	MethylPlus	2	0.84910713
ISX	DBD	MethylPlus	1	0.48809528
KLF10	DBD	MethylPlus	1	0.12745094
KLF11	DBD	MethylPlus	1	0.19159328
KLF13	DBD	MethylPlus	1	0.30303038
KLF14	DBD	MethylPlus	1	0.27735556
KLF16	DBD	MethylPlus	1	0.14130402
KLF17	DBD	MethylPlus	2	0.4438504
KLF6	DBD	MethylPlus	1	0.25714291
LBX2	DBD	MethylPlus	1	0.04444444
LHX4	DBD	MethylPlus	1	0.06896544
LHX9	DBD	MethylPlus	1	1.26666687
LMX1A	DBD	MethylPlus	1	1.72727234
MEIS2	DBD	MethylPlus	1	1.14615372
MEIS3	DBD	MethylPlus	1	0.6571431
MSX1	DBD	MethylPlus	1	0.10294115
MSX2	DBD	MethylPlus	1	0.24081623
MYF6	DBD	MethylPlus	1	0.18181812
NANOG	DBD	MethylPlus	1	-0.3488372
NFAT5	DBD	MethylPlus	1	0.22361362
NFATC1	DBD	MethylPlus	2	0.51851845
NFATC2	DBD	MethylPlus	2	0.20471037
NFATC3	DBD	MethylPlus	3	0.67849808
NKX2-3	DBD	MethylPlus	1	0.29166662
NKX3-1	DBD	MethylPlus	1	0.40000034
NKX3-2	DBD	MethylPlus	1	1.15384651
NR2C1	DBD	MethylPlus	1	0.96857155
NR2F6	DBD	MethylPlus	1	0.53086399
NR3C2	DBD	MethylPlus	1	0.69230782
PAX1	DBD	MethylPlus	1	0.76923073
PAX2	DBD	MethylPlus	1	0.7354599
PAX6	DBD	MethylPlus	1	0.78872063
PAX7	DBD	Multiple	3	0.719139405
PAX9	DBD	MethylPlus	1	0.83417686
PBX1	DBD	MethylPlus	1	0.50000023
PDX1	DBD	MethylPlus	1	0.74358963
PKNOX1	DBD	MethylPlus	1	0.79487206
PKNOX2	DBD	MethylPlus	1	0.53846157
POU2F2	DBD	MethylPlus	1	0.60114765
POU2F3	DBD	MethylPlus	1	0.39639652
POU3F1	DBD	MethylPlus	3	1.02100209666667
POU3F2	DBD	MethylPlus	3	0.558114483333333
POU3F4	DBD	MethylPlus	3	0.948974786666667
PPARD	DBD	MethylPlus	1	1.65043304
PRDM4	DBD	MethylPlus	1	0.62162125
RARA	DBD	MethylPlus	1	0.86388901
RARG	DBD	MethylPlus	1	0.95663246
RFX5	DBD	MethylPlus	2	0.50491798
RORB	DBD	MethylPlus	1	1.61538513
RXRB	DBD	MethylPlus	1	0.57142853
SCRT1	DBD	MethylPlus	1	1.53846313
SCRT2	DBD	MethylPlus	1	1.28571442
SNAI1	DBD	MethylPlus	1	0.20430124
SP1	DBD	MethylPlus	1	0.28295362
SP2	DBD	MethylPlus	1	0.58444893
TFCP2	DBD	MethylPlus	1	0.39344261
TFCP2L1	DBD	MethylPlus	1	0.42176891
TGIF2LY	DBD	MethylPlus	1	0.54999985
THRB	DBD	MethylPlus	1	
UBP1	DBD	MethylPlus	1	0.15079367
UNCX	DBD	MethylPlus	1	0.92307709
VSX1	DBD	MethylPlus	1	0.51578938
VSX2	DBD	MethylPlus	1	0.69999985
ZBTB20	DBD	MethylPlus	1	0.27254093
ZNF12	DBD	MethylPlus	1	0.55408192
ZNF174	DBD	MethylPlus	1	0.56862736
ZNF23	DBD	MethylPlus	1	0.36329998
ZNF274	DBD	MethylPlus	1	0.1309067
ZNF713	DBD	MethylPlus	1	0.83823517
ZNF740	DBD	MethylPlus	1	0.13622677
ZNF771	DBD	MethylPlus	1	0.25999987
ARNT2	DBD	MethylMinus	1	-0.95431
ARNTL	DBD	MethylMinus	1	-0.78974197
ATF2	DBD	MethylMinus	1	0.1130954
ATF3	DBD	MethylMinus	1	-0.2502504
ATF6	DBD	MethylMinus	2	-0.72159729
ATF6B	DBD	MethylMinus	2	-0.562424735
ATF7	DBD	MethylMinus	1	-0.00784308
BARHL2	DBD	MethylMinus	1	-0.01511627
BCL6	DBD	MethylMinus	2	-0.21651775
BCL6B	DBD	MethylMinus	2	-0.16421049
BHLHE40	DBD	MethylMinus	1	-0.73493256
BHLHE41	DBD	MethylMinus	1	-0.93939392
BSX	DBD	MethylMinus	1	0.63135612
CREB1	DBD	MethylMinus	1	-0.63325394
CREB3L1	DBD	MethylMinus	3	-0.115598285
CREB5	DBD	MethylMinus	1	-0.14958686
CREM	DBD	MethylMinus	1	-0.49751972
CUX1	DBD	MethylMinus	1	-0.04761916
E2F2	DBD	MethylMinus	2	-0.54999998
E2F4	DBD	MethylMinus	1	-0.95335938
E2F7	DBD	MethylMinus	1	-0.52859531
ELF2	DBD	MethylMinus	1	-0.83164864
ELF3	DBD	MethylMinus	1	-0.82683983
ELF4	DBD	MethylMinus	1	-0.85894844
ELK3	DBD	MethylMinus	1	-0.8179834
ERG	DBD	MethylMinus	2	-0.94045067
ETV2	DBD	MethylMinus	1	-0.89285713
ETV3	DBD	MethylMinus	2	-0.827201805
ETV4	DBD	MethylMinus	1	-0.89407661
ETV5	DBD	MethylMinus	1	-0.76223778
FEV	DBD	MethylMinus	2	-0.74270643
FLI1	DBD	MethylMinus	2	-0.927225725
FOS	DBD	MethylMinus	1	-0.43023266
GABPA	DBD	MethylMinus	1	-0.83492294
GFI1	DBD	MethylMinus	1	-0.27368414
GLIS1	DBD	MethylMinus	1	-0.1027779
GLIS2	DBD	MethylMinus	1	-0.48172768
GMEB2	DBD	MethylMinus	1	-0.9446228
HES1	DBD	MethylMinus	1	-0.78395058
HES2	DBD	MethylMinus	1	-0.53834118
HES5	DBD	MethylMinus	2	-0.789772225
HES7	DBD	MethylMinus	1	-0.96713943
HEY2	DBD	MethylMinus	1	-0.53225811
HSF5	DBD	MethylMinus	2	1.20000008
HSFY1	DBD	MethylMinus	2	-0.95734268
HSFY2	DBD	MethylMinus	2	-0.91834274
IRF7	DBD	MethylMinus	1	-0.45743244
LEF1	DBD	MethylMinus	1	-0.40016026
MAFF	DBD	MethylMinus	1	0.67836296
MAX	DBD	MethylMinus	1	-0.24420094
MLX	DBD	MethylMinus	1	-0.78075943
MYBL2	DBD	MethylMinus	1	-0.26102942
MYCN	DBD	MethylMinus	1	-0.57406414
ONECUT1	DBD	MethylMinus	1	-0.39043205
ONECUT2	DBD	MethylMinus	1	-0.5007093
ONECUT3	DBD	MethylMinus	1	-0.13488382
OVOL2	DBD	MethylMinus	1	-0.5562904
PROX1	DBD	MethylMinus	1	0.31718899
RUNX2	DBD	MethylMinus	1	-0.33804356
RUNX3	DBD	MethylMinus	1	-0.70303032
SOHLH2	DBD	MethylMinus	1	-0.70634926
SPDEF	DBD	MethylMinus	1	-0.95714279
SPIB	DBD	MethylMinus	1	-0.49579842
SREBF1	DBD	MethylMinus	2	-0.37499992
TCF4	DBD	MethylMinus	1	-0.33333336
TCF7L1	DBD	MethylMinus	1	-0.42023499
TCFL5	DBD	MethylMinus	1	-0.93733582
TFE3	DBD	MethylMinus	1	-0.17532915
TFEC	DBD	MethylMinus	1	-0.14112556
USF2	DBD	MethylMinus	1	-0.46524059
ZBED1	DBD	MethylMinus	1	-0.77066116
ZBTB14	DBD	MethylMinus	1	-0.89722786
ZBTB2	DBD	MethylMinus	1	-0.24166674
ZBTB7A	DBD	MethylMinus	1	-0.70892021
ZBTB7B	DBD	MethylMinus	1	-0.52941177
ZNF460	DBD	MethylMinus	1	-0.66969147
CLOCK	DBD	Multiple	1	-0.49915493
GLI2	DBD	MethylMinus	1	-0.07936513
HSF2	DBD	Multiple	1	-0.54411758
NPAS2	DBD	Multiple	1	-0.46718143
ZFP42	DBD	Multiple	1	-0.14285707
ZNF343	DBD	MethylPlus	1	0.09345806
ZNF345	DBD	Multiple	1	0.58953712
ZSCAN29	DBD	MethylPlus	1	0.2222221
CEBPD	DBD	Little effect	1	0.0253011
E2F3	DBD	Little effect	1	0.07037902
E2F8	DBD	Little effect	1	0.0405947
EGR1	DBD	Little effect	1	-0.01086956
IRF5	DBD	Little effect	1	-0.09007359
KLF2	DBD	Little effect	1	-0.41176476
KLF4	DBD	Little effect	1	-0.22077925
MTF1	DBD	Little effect	1	-0.00631648
NR2F1	DBD	MethylPlus	1	-0.02702707
OSR1	DBD	Little effect	1	0.076087
PAX4	DBD	Little effect	3	1.42016785
SP3	DBD	Little effect	1	-0.26027393
TGIF2LX	DBD	MethylPlus	1	0.51578949
ZNF140	DBD	Little effect	1	0.06950438
BATF3*	DBD	inconclusive	1	-0.22142864
DBP*	DBD	inconclusive	2	-0.00119886
FOSB	DBD	inconclusive	1	0.09890116
IRF3*	DBD	inconclusive	1	-0.16271549
OSR2	DBD	inconclusive	1	1.33333328
ZIC1*	DBD	inconclusive	1	0.02985072
ZIC3*	DBD	inconclusive	1	0.15625
ZIC4	DBD	inconclusive	1	0.0625
ZIC5	DBD	inconclusive	1	0.15909076
ZNF177	DBD	inconclusive	1	0.15714288
ZNF76	DBD	inconclusive	2	0.199609905
ZSCAN1	DBD	inconclusive	1	0.85074631
ZSCAN4	DBD	inconclusive	1	1.00501274
GBX2	DBD	MethylPlus	1	1.325
KLF15	DBD	MethylPlus	1	-0.0133
GCM1*	DBD	inconclusive	1	0.19791676
CEBPG	FL_only	MethylPlus	1	0.20073532
GATA3	FL_only	MethylPlus	2	1.431590545
GATA5	FL_only	MethylPlus	1	0.8700396
HLF	FL_only	MethylPlus	1	0.38181805
HOXA1	FL_only	MethylPlus	1	1.56696411
HOXA2	FL_only	MethylPlus	1	0.76923111
HOXB13	FL_only	MethylPlus	1	0.91032616
HOXC8	FL_only	MethylPlus	1	1.35367722
HOXC9	FL_only	MethylPlus	1	0.85566986
HOXD3	FL_only	MethylPlus	2	0.3138834
HOXD9	FL_only	MethylPlus	1	0.96274483
IRF2	FL_only	MethylPlus	1	0.3261496
KLF12	FL_only	MethylPlus	2	0.14774966
LHX5	FL_only	MethylPlus	1	0.60389603
LHX6	FL_only	MethylPlus	1	1.48443298
LMX1B	FL_only	MethylPlus	1	0.5789473
NKX2-5	FL_only	MethylPlus	2	0.71906668
NR1I3	FL_only	MethylPlus	1	1.10437706
PAX3	FL_only	Ambiguous	3	0.58444439
PAX8	FL_only	MethylPlus	1	0.55615379
POU5F1	FL_only	MethylPlus	4	0.66392841
RARB	FL_only	MethylPlus	1	1.63283615
RXRG	FL_only	MethylPlus	2	1.67674924
SNAI2	FL_only	MethylPlus	1	0.28030289
TBX20	FL_only	MethylPlus	1	0.62881588
ZNF32	FL_only	MethylPlus	1	0.71428596
ZSCAN31	FL_only	MethylPlus	2	2.84188561
ZNF444	FL_only	MethylPlus	1	0.3267815
ZNF524	FL_only	MethylPlus	1	0.63817631
ZNF784	FL_only	MethylPlus	1	0.54213036
ZNF821	FL_only	MethylPlus	1	0.87519165
CREB3	FL_only	MethylMinus	9	-0.465127155
DMRTC2	FL_only	MethylMinus	1	-0.35416664
ELF1	FL_only	MethylMinus	1	-0.86733002
ELF5	FL_only	MethylMinus	2	-0.546345745
ELK1	FL_only	MethylMinus	1	-0.79086533
ETS2	FL_only	MethylMinus	1	-0.95575729
ETV1	FL_only	MethylMinus	1	-0.78663673
FOXP3	FL_only	MethylMinus	1	-1
GMEB1	FL_only	MethylMinus	2	-0.91304348
HEY1	FL_only	MethylMinus	1	-0.36046505
LIN28B	FL_only	MethylMinus	1	-0.40859146
MBNL2	FL_only	MethylMinus	1	-0.38375347
OVOL1	FL_only	MethylMinus	1	-0.33333332
USF1	FL_only	MethylMinus	1	-0.3634259
XBP1	FL_only	MethylMinus	2	-0.29941171
YY1	FL_only	Ambiguous	3	0.71839817
ZNF704	FL_only	MethylMinus	1	-0.94627808
IRF4	FL_only	MethylPlus	1	0.097561
IRF9	FL_only	MethylPlus	1	0.10526312
YY2	FL_only	Multiple	1	-0.19547874
EGR2	FL_only	Little effect	1	-0.01473004
EGR3	FL_only	Little effect	2	0.02042365
MYOD1	FL_only	Little effect	1	0.57160484
MYOG	FL_only	Little effect	1	0.44989323
NHLH1	FL_only	Little effect	1	-0.15789479
NHLH2	FL_only	Little effect	1	-0.08867306
GCM1	FL_only	inconclusive	1	1.2e-07
GCM2	FL_only	inconclusive	1	0.13725483
HSF1	FL_only	inconclusive	1	0.04761899
IRF8*	FL_only	inconclusive	2	-0.100530265
JDP2	FL_only	inconclusive	1	0.33333351
ZFP41	FL_only	inconclusive	1	0.60156239
ZNF597	FL_only	inconclusive	1	1.15757607
ZIC3	FL_only	inconclusive	1	0.2142111
