Gene_ID	Gene	Category	Present	Eye	Tail	Bodywall	Head	Juvenile	Ovotestis
LOC_00000327	APEX1	BER	TRUE	8.48383049020477	9.5279550370608	8.46529127167025	8.89729619959858	6.84552943012452	12.3362051883361
LOC_00002413	GADD45GIP1	Demethylation	TRUE	7.83434865278683	7.23541583811307	7.57400065226686	9.08833327269666	9.51613978603912	11.1890850142102
LOC_00002628	GADD45G_1	Demethylation	TRUE	5.94589477565855	6.3655734154294	7.7148636775885	5.83142198006906	6.19145141068362	4.70422055818179
LOC_00003192	HDAC2	Deacetylase	TRUE	10.1922084683579	11.2669828883127	10.6179782169418	10.3172726548054	9.63232302498746	13.1644231227693
LOC_00005931	MBD2	Reader	TRUE	8.34713757448928	7.5787895823359	7.9031301344007	8.76600599318708	10.0249162554963	8.30396611451115
LOC_00008803	TET2	Eraser	TRUE	8.41331206744497	8.44811530136054	7.6435301580198	7.43168542171262	7.75470019336777	10.4898180164982
LOC_00009210	DNMT1	Writer	TRUE	6.25357159390503	7.8905882880205	6.53457944207219	5.87449079097505	4.50386674765644	13.0565891576673
LOC_00010497	HELLS_1	Remodeler	TRUE	5.49828701696849	6.24281898487139	5.82548719442531	5.49160063441863	4.37850591927435	11.3501887888814
LOC_00011698	UHRF1_1	Recruiter	TRUE	8.55722826577982	9.22156297448383	8.79811309428556	8.253133606182	7.84604857739766	12.9970692972609
LOC_00012796	GADD45B	Demethylation	TRUE	6.84068061166031	7.03948201679104	7.84102541832374	6.72084465552948	6.67581585575978	5.96556308533685
LOC_00012923	GADD45G_2	Demethylation	TRUE	6.96153749221756	7.63149915020739	8.41224403623639	7.7481290352227	6.02172310384791	9.21319801429879
LOC_00013941	HELLS_2	Remodeler	TRUE	1.29530461933006	1.09280861094291	1.06184801931203	2.18850128389495	1.54179410819809	4.74156612291505
LOC_00017302	UHRF1_2	Recruiter	TRUE	4.59674715678604	5.98034257522889	5.41347098318634	4.74595743338432	4.69499332727759	8.9291940522521
LOC_00017436	TET3	Eraser	TRUE	7.55180809581229	7.62970237579219	8.42939336298659	7.06594364942475	8.26880430726905	5.80498077312162
LOC_00018573	TDG_1	BER	TRUE	8.27350111300564	8.35394385255361	8.33572598730274	9.01229406493488	8.48985483745775	7.30569715633172
LOC_00023929	MBD4	Reader	TRUE	8.63642412019387	8.98809734976811	9.64610106984529	9.87581024384691	9.08271568007115	14.1281080041018
LOC_00024130	CFP1	Reader	TRUE	6.97896689237415	6.52395703771077	6.72431534858529	7.48594829342741	7.67311605579894	9.70402890266404
LOC_00024530	TDG_2	BER	TRUE	7.17915258796991	7.17099565647188	6.57988921338769	7.29998209965343	7.37369219190016	7.39833145046772
