region	expr_decile	mean_meth	median_meth	sd_meth	n
Promoter	D3	16.2499323344634	0.361878021326075	31.3667811435352	2126
Promoter	D8	11.9216028177363	0.34151921657158	26.8536732581493	2138
Promoter	D7	11.5931892359618	0.347644805048456	26.1292290593872	2127
Promoter	D10	8.01419827798314	0.325890668829464	22.3824607455706	2139
Promoter	D9	9.69999958319856	0.334761474581604	24.5124001004559	2130
Promoter	D6	13.1835761330073	0.359832734832735	27.3233154298212	2131
Promoter	D1	5.34858655221752	0.288987328461013	18.2612122487888	2125
Promoter	D2	15.3323023413642	0.343166945140629	31.1609498027802	2123
Promoter	D5	13.8218767699892	0.367764545396124	28.0012199522219	2132
Promoter	D4	14.7504124761742	0.362408424908425	29.0489476543863	2137
Exon	D2	21.7115693025099	0.406764856480226	34.1159549909141	1997
Exon	D3	36.1527777762619	22.3668199529707	37.3877610762498	2065
Exon	D8	63.3528223521973	78.3618632356081	32.2235730601247	2139
Exon	D7	60.5361513336462	76.5061518147445	33.5066414554809	2134
Exon	D10	63.9101348285192	77.848918165909	31.6869152202759	2143
Exon	D9	65.5052982124721	79.805304441043	31.1439741867936	2138
Exon	D6	57.6746188957833	73.4084387144254	33.8223777813627	2131
Exon	D1	9.4601158092846	0.304633637966971	23.2255660431691	2083
Exon	D5	54.4298139890484	71.4723918299566	35.2309245037203	2118
Exon	D4	47.7397277597006	62.8962296505415	36.7193360832529	2101
Intron	D2	17.6761736101876	0.382133812786484	31.204200501049	1553
Intron	D3	32.2754993798693	2.46046443687163	37.3750970770731	1724
Intron	D8	59.4625968306341	82.0142267370621	36.8326325760277	2012
Intron	D7	57.8919143390525	81.080344048199	37.422153723813	1993
Intron	D10	56.8027175761549	75.8567345415893	36.4305137817417	2062
Intron	D9	59.3307017369043	81.3097132059972	36.2334225146502	2044
Intron	D6	56.5822434903634	78.9438946249794	37.1984981666772	1967
Intron	D1	7.40635689725262	0.335916503374637	20.3577220667838	1852
Intron	D5	53.4471388226162	75.6748507933619	37.7992803952764	1932
Intron	D4	46.3006501403314	63.0024854626526	38.960219727489	1872
Gene body	D2	23.2534127925562	0.415527960197205	35.2532513169175	2160
Gene body	D3	35.9313498199973	11.680963381873	38.0219651070623	2160
Gene body	D8	59.9665278626672	80.5055138697108	35.1260920072853	2160
Gene body	D7	57.8962118684983	78.9023157169504	36.0534316924279	2160
Gene body	D10	57.420625843593	75.0823053564746	34.7127075396716	2161
Gene body	D9	59.9604152413606	80.2530608613675	34.516032859307	2160
Gene body	D6	56.3074759639864	76.6362914466515	35.8885799495954	2160
Gene body	D1	8.79133676942556	0.331988944499742	22.3826155543987	2161
Gene body	D5	53.4658540736659	73.9925305465733	36.8041157980639	2160
Gene body	D4	46.8835094645565	66.3800087866291	38.2027682685088	2160
Downstream	D2	26.2598070302427	0.447861216401886	37.8798920629078	2129
Downstream	D3	38.5925661762114	8.98913397323059	40.8466046712802	2120
Downstream	D8	49.4194502487968	65.7328197634409	40.5601330546169	2133
Downstream	D7	51.0049698652507	71.962520776348	40.0491148361467	2125
Downstream	D10	46.4364659095533	43.2250807833394	40.127705685194	2141
Downstream	D9	49.8375549706941	60.2639386989343	39.6675520432919	2132
Downstream	D1	12.8398677331217	0.338807062830806	28.445590783683	2114
Downstream	D5	49.9933221197878	70.7333683338936	40.2190706315423	2118
Downstream	D4	46.6956024024667	64.4253765798539	40.8933701586294	2119
Downstream	D6	51.4942679151447	75.1790702658424	40.2625154240234	2132
