te_class	age_bin	location	mean_meth	se	n
LINE	"Very Old
(>45%)"	Intergenic	5.84093448429774	0.28389116007239	5175
LINE	"Very Young
(0-5%)"	Intergenic	5.80785707884744	0.108643287941539	34789
LTR	"Young
(5-15%)"	Intergenic	6.81909916124205	0.146149390541201	23321
LINE	"Old
(30-45%)"	Intergenic	6.64404278588417	0.0975840569942263	49269
DNA	"Very Young
(0-5%)"	Intergenic	5.63386813152805	0.107047160460355	35973
LINE	"Intermediate
(15-30%)"	Intergenic	5.34785536725907	0.0632005942730666	95459
Unknown	"Intermediate
(15-30%)"	Intergenic	6.41476954732948	0.0899970488162893	57988
DNA	"Old
(30-45%)"	Intergenic	6.28394019277284	0.10517953347321	40565
DNA	"Intermediate
(15-30%)"	Intergenic	6.05483360237398	0.0557509220894209	142070
LINE	"Young
(5-15%)"	Intergenic	5.96555825446629	0.0695043842790632	89015
DNA	"Old
(30-45%)"	Genic	36.1315317326217	0.182889525123161	52933
DNA	"Intermediate
(15-30%)"	Genic	36.9283293006189	0.104407546203646	168017
RC	"Young
(5-15%)"	Genic	40.30532051423	0.460641293203616	9141
LINE	"Old
(30-45%)"	Genic	39.3130473916374	0.165451068498517	65728
DNA	"Young
(5-15%)"	Genic	38.2523678907442	0.116266135284844	139541
LINE	"Young
(5-15%)"	Genic	37.3383652945881	0.133963505973827	102258
LINE	"Very Young
(0-5%)"	Genic	37.4350730384615	0.214295572295912	40360
Unknown	"Young
(5-15%)"	Genic	39.8022057175627	0.14667919645929	87557
LINE	"Intermediate
(15-30%)"	Genic	36.0035044498634	0.133166942768543	101184
SINE	"Very Young
(0-5%)"	Genic	39.2188431265635	0.412282234853757	11298
Unknown	"Intermediate
(15-30%)"	Genic	38.2519434487589	0.16033648286625	71491
RC	"Intermediate
(15-30%)"	Genic	35.5777814094713	0.353674997460276	14510
SINE	"Young
(5-15%)"	Genic	36.7093788323072	0.224323854063833	37855
LTR	"Young
(5-15%)"	Genic	41.0466265736032	0.266544569920651	27138
DNA	"Young
(5-15%)"	Intergenic	6.00217862952859	0.0603812968691109	120541
LTR	"Intermediate
(15-30%)"	Intergenic	6.36101564957933	0.101955612323351	44844
Unknown	"Old
(30-45%)"	Intergenic	6.6600119637838	0.212445977011023	10529
LTR	"Old
(30-45%)"	Intergenic	7.96196085679359	0.165800499036777	20632
SINE	"Young
(5-15%)"	Intergenic	7.45598873240238	0.139769705140849	28901
Unknown	"Young
(5-15%)"	Intergenic	6.79861546544901	0.0841123217992147	70483
RC	"Very Young
(0-5%)"	Intergenic	5.90266026989798	0.339330685053397	3655
LTR	"Intermediate
(15-30%)"	Genic	37.6553203590088	0.184193217061697	54741
DNA	"Very Young
(0-5%)"	Genic	37.5616677944346	0.220537349299473	39314
RC	"Very Young
(0-5%)"	Genic	43.3157861575257	0.64979958429204	4567
RC	"Young
(5-15%)"	Intergenic	6.61583800465636	0.263819207383646	7061
LTR	"Very Young
(0-5%)"	Genic	35.8469320323663	0.595510720350418	5344
LTR	"Old
(30-45%)"	Genic	41.3989505121732	0.250561162355965	29363
SINE	"Intermediate
(15-30%)"	Genic	36.6840026997182	0.255001529248734	28563
RC	"Intermediate
(15-30%)"	Intergenic	6.02372904616417	0.188828537337848	12319
Unknown	"Very Young
(0-5%)"	Intergenic	6.27913560633055	0.212980032486776	10289
SINE	"Very Young
(0-5%)"	Intergenic	8.02684050939229	0.267649503647815	8220
Unknown	"Old
(30-45%)"	Genic	35.9075716265675	0.354945677622101	14018
RC	"Old
(30-45%)"	Genic	42.9283165208654	0.615236714136979	4830
SINE	"Old
(30-45%)"	Genic	35.8425944915118	0.330527107985122	16281
DNA	"Very Old
(>45%)"	Intergenic	5.54177593139957	0.409542662090143	2307
LINE	"Very Old
(>45%)"	Genic	38.4119208918825	0.554993105147219	5816
DNA	"Very Old
(>45%)"	Genic	34.4046579899253	0.783987084187125	2754
Unknown	"Very Old
(>45%)"	Genic	43.6519377093326	1.26510305369927	1173
SINE	"Intermediate
(15-30%)"	Intergenic	7.07209423629319	0.164285279840477	19423
LTR	"Very Young
(0-5%)"	Intergenic	5.47785925067528	0.277817938627148	5098
Unknown	"Very Old
(>45%)"	Intergenic	5.72253586051072	0.687845293308761	851
RC	"Old
(30-45%)"	Intergenic	8.21731860658412	0.404128184198413	3545
Unknown	"Very Young
(0-5%)"	Genic	40.2864087305207	0.419758403757962	10943
SINE	"Old
(30-45%)"	Intergenic	6.97475949809663	0.218613494592754	10605
LTR	"Very Old
(>45%)"	Genic	39.9906626453221	1.08766382641054	1508
LTR	"Very Old
(>45%)"	Intergenic	7.47942489628401	0.708823750406383	1036
RC	"Very Old
(>45%)"	Intergenic	9.27806724769153	2.02820374062317	158
SINE	"Very Old
(>45%)"	Intergenic	7.38437978997159	0.969962947525078	550
SINE	"Very Old
(>45%)"	Genic	32.9501093167768	1.48637474581063	756
RC	"Very Old
(>45%)"	Genic	42.2841958872765	2.67557499704301	242
