region	n_genes	spearman_rho	spearman_p	pct_de
SingleExon	22	-0.499719601306105	0.0178808753428131	9.1
Downstream	163	-0.115340118003422	0.14261314916229	15.3
LastIntron	139	-0.117934888287486	0.166754933936786	10.1
InternalExon	27	-0.269312989653889	0.174327573006229	7.4
Promoter	137	0.077606033128435	0.367379506203687	8.8
InternalIntron	313	0.0450136127392777	0.427435212492142	14.4
LastExon	142	0.0618386240168682	0.464730791842847	12
FirstIntron	189	-0.0416520575725696	0.569309035287552	13.2
FirstExon	20	0.0670434333888248	0.778835096659268	5
Intergenic	296	0.0021928112208408	0.970032945724503	10.5
