MElightgreen	MEmagenta	MEpurple	MEcyan	MEmidnightblue	MEblack	MEturquoise	MEbrown	MEgreenyellow	MEgrey60	MEred	MEsalmon	MElightcyan	MEgreen	MEtan	MEyellow	MEblue	MEpink	MEgrey	sample	tissue	condition
-0.0453247433444772	-0.101218087136698	-0.341337964841982	-0.170053234809568	-0.109347763441463	-0.111695156940857	-0.0486796992332674	-0.0663360842759438	-0.000641722374302583	-0.0566099944279189	0.0417027556264491	-0.201682230153747	-0.0379561263548356	0.0422112718222627	0.0488362011908992	0.283260807445561	-0.154257413467552	0.0355840179538608	-0.264454986394536	Eye_Control_1	eye	control
0.0373262908703056	-0.0325424306099743	0.111363314446268	-0.00495136523936512	-0.069993613730636	0.081712698523462	-0.0428290030217754	-0.085654762628888	-0.158709384909882	-0.191823175172674	0.00795198868987002	0.0306082984764888	0.0283870249974453	-0.149094607202667	-0.0553747689042607	-0.046338419860216	0.117619951948824	0.113987033522173	0.0130130240020353	Tail_Control_1	tail	control
-0.0507514541447549	-0.0593260180304486	0.0823243096154528	-0.0838389976575628	-0.148485102921375	0.112236566778993	-0.0359810186655945	-0.0899883051270134	-0.164085933866111	-0.118742453431215	0.0363101688473065	0.0483124803799032	0.087331235684729	-0.105609842581857	0.00845576080515326	-0.050836005778796	0.0960905951235056	0.0924573910338123	0.00923581825036643	Tail_Control_2	tail	control
0.00262204373169891	-0.0268863301949249	0.105199834366866	-0.0458734437151084	-0.0964868511027126	0.0906842593802011	-0.0385301714793016	-0.0832740830518328	-0.155541137429661	-0.160035052334468	0.0156400804008244	0.0240752357212321	0.0364514456821265	-0.124564883962209	-0.031604072718816	-0.0404724258735431	0.0989983928222678	0.104670543041761	0.00924676777723866	Tail_Control_3	tail	control
-0.033685698189617	-0.0938708155992891	-0.232446813890813	-0.157561328481676	-0.147427460537627	0.024071139311438	-0.059460572231028	-0.0917703073095539	-0.130652299936145	-0.137973154805764	0.0234213763660486	-0.198229984783888	0.0118181573339112	-0.0672215869180206	0.00555200385910147	0.255197137718184	-0.107909969582983	0.118494023362945	-0.271917353999717	Eye_Control_2	eye	control
0.00676139603475959	-0.0329137409055164	0.0987818897680045	-0.0431660319938033	-0.0744917851287363	0.0667109560506772	-0.0483016613142796	-0.0818982777559372	-0.138411926396877	-0.117922779959009	0.0295043748645697	0.0313813620676232	0.0097874203355902	-0.100900685021718	-0.0191186240275351	-0.0405831444252889	0.111503665534141	0.0999054679127548	0.0148364757313199	Tail_Control_4	tail	control
-0.0290588588156059	-0.0931843984578347	-0.172899858062029	-0.137458816708508	-0.128312274021679	0.0555826611197161	-0.0538660224451534	-0.0928971009671426	-0.136998934189757	-0.156876790059685	0.0122557178428237	-0.214276425703138	0.0174307728415666	-0.0872102253691205	-0.00245112932772341	0.249742681063663	-0.103398529089407	0.115043996081927	-0.266450721462948	Eye_Control_3	eye	control
-0.0196956780134538	-0.0943067824353339	-0.281938093371171	-0.118873815121544	-0.109005403801528	0.0207311556630618	-0.0618279675797448	-0.0803461506819015	-0.125361757230125	-0.116637310686286	0.0220351322715925	-0.214047323576241	-0.00854289491446224	-0.0747322606603244	-0.00559285318399988	0.252469302148779	-0.109907181977393	0.114211984358713	-0.29297550192938	Eye_Control_4	eye	control
0.205696605085433	0.251493738347136	0.0935402515410689	0.155980002722112	0.121485197354227	0.00778419022979484	-0.0611660411962756	-0.0779713824495021	-0.0518881256294361	-0.0448350177635451	-0.0249453157758398	0.00282497125634244	-0.119762309571107	-0.150571401070517	-0.145333063227331	-0.0816011876134421	0.162832362725928	0.0997262740529315	-0.00222463248663905	Bodywall_Control_1	bodywall	control
0.197519976956236	0.246402025846777	0.110638989219449	0.160078541784988	0.125094379083988	0.0138837307081725	-0.0534391391439789	-0.0771114279483061	-0.0389903858822971	0.0128978950682742	-0.039282267648068	-0.00408421511463987	-0.107109254109396	-0.13800202132409	-0.146316783145778	-0.0874560446301465	0.151710948109512	0.0854053857681051	-0.0144051489327906	Bodywall_Control_2	bodywall	control
0.197218581981019	0.262282814461249	0.12962510251295	0.19243535484999	0.107923620386451	0.0493591958373286	-0.0358922779833291	-0.077490796976403	0.00299750802683922	0.123738437033078	-0.0529387843353521	0.0409984621339691	-0.0659576226245588	-0.115465039237602	-0.149183481917086	-0.131735026060397	0.14970581109318	0.0412186070453966	-0.00110352712471001	Bodywall_Control_3	bodywall	control
0.192586127243557	0.256340568680166	0.0819457237860199	0.174010953825903	0.108859370345813	0.00989159685449886	-0.0573425222547409	-0.0838910730086987	-0.086205101866397	-0.112257649355988	-0.0280508097877752	0.00233244856518544	-0.0742176678204248	-0.169256931692678	-0.137986679694507	-0.100707557814031	0.151632152161385	0.107123795562756	0.00116092820695136	Bodywall_Control_5	bodywall	control
0.0817388708430612	-0.0566085717763347	0.00601131281481962	0.0603215432913616	0.0339164099384665	-0.041118481146206	-0.0694599566857176	-0.0802578230037314	-0.109305321712115	-0.164384036885659	0.0693333719522424	0.116717593458021	0.0144526808450923	-0.0710126827707461	0.0221326126622151	-0.122516568687222	0.121707724103259	0.0819787361786333	0.087476425201074	Bodywall_Control_6	bodywall	control
0.0323777822634632	-0.0518950057646134	0.0632241950363263	0.0331134460193502	0.00217485976048551	-0.013292233830847	-0.0574981860724772	-0.0776852710411201	-0.114042838729482	-0.0488607881927545	0.0745222849430672	0.113873989324203	0.0618316849301912	-0.0252474575378266	0.0540482493612882	-0.0843008253359661	0.125814031974555	0.0701187406329511	0.0815853864757102	Bodywall_Control_7	bodywall	control
-0.126394128135647	-0.0799199721260432	-0.0189784856373162	-0.08944357511929	-0.109318089081119	-0.0448965699447908	-0.0582701054407191	-0.0704610272987246	-0.0970831050337638	0.0465240470400488	0.16757982371744	0.160607325873168	0.136525587856729	0.0815856362893238	0.200063233216785	-0.0568830856433879	0.116279122202273	0.0371996113738704	0.116269683710512	Bodywall_Control_8	bodywall	control
-0.0175033409983266	-0.079622661324473	0.0233143451111276	0.0148369340331473	-0.0352349055336901	-0.0515326649897132	-0.0674861314041918	-0.0828870307145864	-0.0933769461039884	-0.0963950917519868	0.109869893654977	0.151944249602008	0.0672463634735191	-0.00640911823933212	0.102852487864067	-0.126296686824587	0.124903411579916	0.0550634959531132	0.0866108928332721	Bodywall_Control_9	bodywall	control
-0.174131271954825	-0.10841976959482	-0.14859381753804	-0.153587841499738	-0.124819089452397	-0.250903014666462	-0.0460658017544463	-0.0775940354521011	0.239634171727337	0.345367483549674	0.250902274588999	0.372365998695552	0.158727212874089	0.382660424640701	0.352154610076985	-0.224110877353949	0.0293047443532381	-0.189895522152498	0.0704724164133848	Bodywall_Fungicide_1	bodywall	fungicide
-0.377953906368354	-0.122184681841503	-0.13356521667088	-0.302063588094289	-0.272378738218521	-0.229453221357444	-0.0289878287566394	-0.0630272928700277	0.217668697507538	0.397820263761302	0.336491197965802	0.399285778002501	0.316475143590396	0.464686702888163	0.477418629688973	-0.135734427502524	0.0423274154191636	-0.205163786760713	0.16513746718256	Bodywall_Fungicide_3	bodywall	fungicide
-0.456482702912327	-0.126429490936081	-0.177573849803007	-0.382285522469644	-0.332341671868534	-0.180538828803217	-0.0298960917291343	-0.0648132050614844	0.154294383683807	0.369246531261824	0.356236284743533	0.373586575314421	0.362942537676663	0.449655823642427	0.502781329039233	-0.0887191764698944	0.037747425634051	-0.173364935681058	0.148557750166743	Bodywall_Fungicide_4	bodywall	fungicide
-0.0945124826138148	-0.0745816329574774	-0.0686451649020063	-0.111725301559609	-0.0985867778682531	-0.196179483439796	-0.059746509092866	-0.0654655177974197	0.107027546712434	0.0419151355699792	0.205082135354399	0.25374485969488	0.0765800453977156	0.21758468066696	0.234832479240836	-0.119495375548959	0.0659285595783961	-0.0557368102634134	0.103249175427085	Bodywall_Fungicide_5	bodywall	fungicide
0.14534702280436	0.245176132676194	-0.0213297525481506	0.118013037106614	0.0640938799288757	0.013175976335221	-0.0579434098209778	-0.0795079481225702	-0.0536638393438728	0.0259705893882868	-0.0108985648950036	0.0141776755547409	-0.0646678322976069	-0.129485404799695	-0.10878363708362	-0.0708102107521067	0.155649189321246	0.0888081450658869	0.00324206587824088	Bodywall_Irradiated_1	bodywall	irradiated
0.189721380257849	0.573775623819575	-0.0486453896708876	0.283163937703164	0.171246408878424	-0.0430489544132328	-0.0608649576876427	-0.0785309376019332	0.0146856643446994	0.228832106640249	-0.0474042100626618	0.0375359879849034	-0.0912725209735161	-0.111482950837024	-0.145361613891488	-0.125679456031129	0.210649814563684	0.0598108420733646	0.0206375147653416	Bodywall_Irradiated_2	bodywall	irradiated
0.197045600376099	0.274617968105305	-0.0241728991824252	0.159858354819724	0.111197835592397	-0.0120232551234595	-0.0701000489072813	-0.0736687416184336	-0.0619241735366768	-0.0491670194674752	-0.0205402002163539	0.00291627252755972	-0.119207154357068	-0.157817929923404	-0.135295962338048	-0.0686027742522555	0.16389319751317	0.111813139979941	0.0187803179866319	Bodywall_Irradiated_3	bodywall	irradiated
0.150590650056599	0.273854178062489	-0.00886598147416961	0.150759173635638	0.0588555212938347	-0.00163104662584284	-0.0510034568208079	-0.0845452523181639	-0.0143520954843948	0.0910499890449254	-0.0093851267929983	0.0489637200835482	-0.0399813881797436	-0.10024614135771	-0.0949165386574948	-0.104210430077939	0.174671422359723	0.0596159205361553	0.00728836339800415	Bodywall_Irradiated_4	bodywall	irradiated
-0.0208815620743138	-0.0811368537069137	-0.180536404600036	-0.08194838835982	-0.0573017975292438	0.0268610052219002	-0.0577718587953874	-0.0897876717907393	-0.114398853772867	-0.117834741015957	0.0211303687216737	-0.163908036761811	-0.0123351930913135	-0.0743447414023023	-0.0060039188714964	0.180236962930315	-0.0643185227897638	0.110593111244983	-0.229407990908921	Eye_Amputated_1	eye	amputated
-0.0573634648023737	-0.0975388365063526	-0.2560353526645	-0.142115324608733	-0.123210929326703	0.00242053297267903	-0.0456239947540208	-0.0896191732656376	-0.0886317520429316	-0.129004841086821	0.024776923597484	-0.172421010140418	0.0217868125096628	-0.031448225275229	0.021273852212206	0.207733009299132	-0.105155919704402	0.0768818016469054	-0.252546180319849	Eye_Amputated_2	eye	amputated
-0.0724481145282899	-0.102096340046424	-0.16881587388829	-0.118932669360585	-0.145611734282845	0.0472882720595244	-0.0438902660802872	-0.0974744632836792	-0.125796250024333	-0.160446502578667	0.0188805441786126	-0.145802960183168	0.0755033199691462	-0.0651598934144906	0.0245933142212388	0.181115617060604	-0.0669122233117328	0.0970106844899405	-0.234707133485463	Eye_Amputated_3	eye	amputated
-0.0439730857142759	-0.0981428314005997	-0.265874605258669	-0.132872300651669	-0.151420782108185	0.0134173100879395	-0.0581745891709195	-0.0827408208120988	-0.117102266629105	-0.159968215586934	0.0403682457227034	-0.153872933485619	0.0399961364006406	-0.0497202142557337	0.0272581124602674	0.178770725054244	-0.0742353527191166	0.099937115102156	-0.25708347333512	Eye_Amputated_4	eye	amputated
0.172367059924842	-0.0330269574875103	0.29516358773082	0.133605208939979	0.317495548704755	-0.0592893591084203	0.00196000209743819	0.183873248282082	0.0709398441676922	0.112972986889934	-0.144249387177632	-0.15441515939572	-0.208987961982128	-0.0549376180837811	-0.183882447296263	0.145012167990139	-0.0953970679147035	-0.0274212851179889	0.0708018797560629	Head_Control_1	head	control
0.165957215139324	-0.0418421443768234	0.277328604676794	0.108236222680784	0.262521177546142	-0.0600384198167934	-0.0026478216461513	0.242028662117936	0.0626899692463045	0.100219027803624	-0.116991874140137	-0.116988051751381	-0.199778373902154	-0.0309575147948799	-0.162038390143137	0.145986075170087	-0.0978492750863446	-0.0370151890969094	0.190666036544824	Head_Control_2	head	control
0.150202193929464	-0.0317227852902546	0.18822980574823	0.141188125309781	0.27381681471326	-0.0768004879924834	-0.00297221964983364	0.159899360887258	0.0588778625087547	0.144005685091986	-0.12018540690973	-0.115885007567519	-0.172670078506117	-0.0258021179490564	-0.148933661232913	0.134179539828439	-0.0823033971602139	-0.0266720366674031	0.105751261820921	Head_Control_3	head	control
0.129790351294954	-0.0631113163807986	0.0144196692392909	-0.0470249139393187	0.250403662429874	-0.246113527975105	-0.0226086997834366	0.415280357650567	0.197490281752579	-0.0451582001967425	-0.061820701875075	-0.0310669938825925	-0.344728875955681	0.0977372241225642	-0.106892083525693	0.217459779221896	-0.158082757150488	-0.0635884955525162	0.303177716509025	Juvenile_Control_1	juvenile	control
0.137020099110944	-0.0653822775081548	0.0753041288961891	-0.0400855117559265	0.258206578735531	-0.265489434807901	-0.0312248763431572	0.424876604981179	0.200625127916387	-0.114214476422887	-0.0502458525083048	-0.00403948838936585	-0.355953835746586	0.0959397201950878	-0.0958732227237302	0.138811049704027	-0.135734372171409	-0.0624433610815195	0.310559337520777	Juvenile_Control_2	juvenile	control
0.102883898031117	-0.067840700353931	0.0130217877771749	-0.0576069963331256	0.244628750104024	-0.246101092311995	-0.0126278351708102	0.44260645027135	0.204707827678542	-0.0921517974952652	-0.0733375923038146	-0.0670699149737885	-0.350094071074799	0.101113304278432	-0.10206557968924	0.230459551221276	-0.176539468968514	-0.0729557484227887	0.303564627590772	Juvenile_Control_3	juvenile	control
-0.263425605614288	-0.100650431895935	0.0966804879291544	0.247181205060361	0.0442616344493621	0.429888894239546	0.549572472982973	0.203626062295753	0.365735457147342	0.192801324688023	-0.397457137141572	-0.137968084616437	0.222814333728189	0.183757290006694	-0.0408544880271451	-0.246934283533153	-0.390663194224307	-0.468594502293973	-0.0827226698136041	Ovotestis_Control_1	ovotestis	control
-0.209805404288779	-0.0992254069571391	0.163150322207957	0.293498516064394	0.0620678225752672	0.435768726812122	0.571964448184254	0.208952540895636	0.367218413696552	0.216193317478693	-0.433181224375758	-0.1695506310418	0.222192901975347	0.162929372277906	-0.0845987120439385	-0.255568429244208	-0.40173398828743	-0.48274074156028	-0.106343485900385	Ovotestis_Control_2	ovotestis	control
-0.187982159229159	-0.0935148037166843	0.310600869644252	0.262488087011375	0.113377376140552	0.388018894529838	0.53330007222096	0.212850544220587	0.361101396757609	0.203414937854726	-0.412240762800563	-0.148915166489051	0.159688378744213	0.158700310206622	-0.0818906391170954	-0.235361282480113	-0.374315536062075	-0.452399773587291	-0.0676207608292004	Ovotestis_Control_3	ovotestis	control
-0.0844587205107275	-0.0625472654448375	0.0817438843739954	-0.106974140030078	-0.134631196713316	0.065162413453163	-0.0429847550342218	-0.0814691357065416	-0.126975721714633	-0.0537980285591991	0.0736139516291922	0.081228235244133	0.0850541619213254	-0.0564832101626655	0.0534739624550937	-0.0585372040030916	0.0972864949326011	0.0664589619488978	0.0522124620826359	Tail_Amputated_2	tail	amputated
-0.0666655255678899	-0.0640176182280992	0.0834720531051304	-0.0934901197408546	-0.151100443502548	0.105191886410876	-0.0385788390546151	-0.0819597863762808	-0.16895886123617	-0.107103532485916	0.0487503007555237	0.0523009695991363	0.0842952376805986	-0.0892945481086055	0.0226670695113189	-0.0478496218957527	0.0899128512325638	0.0885069429228581	0.027102431951874	Tail_Amputated_3	tail	amputated
-0.062275238113782	-0.0482360910070682	0.0451710544570332	-0.0668354176088499	-0.112120437790616	0.0703031707144147	-0.043052659281415	-0.0838689452859517	-0.152595417799095	-0.100769108441812	0.0567960223115039	0.0544411284508059	0.0759045650126102	-0.076082507083859	0.0319584429226815	-0.0490938781642448	0.102544885381253	0.0863664193915605	0.0233273397399012	Tail_Amputated_4	tail	amputated
