module	size	genes_with_dmr	pct_with_dmr	total_dmrs	dmr_hyper	dmr_hypo	fisher_p	odds_ratio	fisher_padj
lightgreen	60	9	15	10	2	8	0.00636458707334146	2.95463631448222	0.0794086499932623
red	891	67	7.5	99	49	50	0.0106615506034591	1.3811514211485	0.0794086499932623
green	975	71	7.3	95	56	39	0.0172902155408161	1.33293120644	0.0794086499932623
tan	189	18	9.5	24	10	14	0.0217317348216183	1.76625229998792	0.0794086499932623
greenyellow	203	19	9.4	32	16	16	0.0220579583314618	1.73310667081578	0.0794086499932623
pink	574	41	7.1	56	22	34	0.0754446639577398	1.29293745691345	0.22633399187322
black	854	52	6.1	70	41	29	0.314835662278161	1.08325639653124	0.709759235099577
cyan	146	10	6.8	12	4	8	0.315448548933145	1.22549925044349	0.709759235099577
yellow	1831	106	5.8	153	64	89	0.424661522254554	1.02504753593687	0.808313010131993
lightcyan	96	6	6.2	17	5	12	0.463978188444559	1.10955770981018	0.808313010131993
midnightblue	99	6	6.1	8	5	3	0.493969061747329	1.07352208797851	0.808313010131993
grey60	65	3	4.6	3	1	2	0.721209936922879	0.804139259468655	0.99863533607437
turquoise	4636	252	5.4	355	156	199	0.806114346580779	0.938631724327776	0.99863533607437
purple	248	11	4.4	16	5	11	0.838345303624471	0.769109161027264	0.99863533607437
salmon	156	5	3.2	8	5	3	0.945559089659853	0.548196442999448	0.99863533607437
blue	2355	117	5	193	110	83	0.952310340473751	0.849709560688587	0.99863533607437
magenta	280	9	3.2	14	6	8	0.980148065275963	0.547775316707796	0.99863533607437
brown	1982	85	4.3	115	54	61	0.99863533607437	0.718277369969019	0.99863533607437
