motif	expr_decile	n_with	n_total	pct
TATA	D02	156	1336	11.7
Inr	D02	1013	1336	75.8
DPE	D02	1272	1336	95.2
BRE	D02	44	1336	3.3
TATA	D03	172	1598	10.8
Inr	D03	1206	1598	75.5
DPE	D03	1495	1598	93.6
BRE	D03	54	1598	3.4
TATA	D08	204	2003	10.2
Inr	D08	1551	2003	77.4
DPE	D08	1882	2003	94
BRE	D08	76	2003	3.8
TATA	D07	207	1987	10.4
Inr	D07	1511	1987	76
DPE	D07	1864	1987	93.8
BRE	D07	71	1987	3.6
TATA	D10	245	2049	12
Inr	D10	1566	2049	76.4
DPE	D10	1924	2049	93.9
BRE	D10	74	2049	3.6
TATA	D09	224	2043	11
Inr	D09	1527	2043	74.7
DPE	D09	1942	2043	95.1
BRE	D09	63	2043	3.1
TATA	D06	206	1922	10.7
Inr	D06	1455	1922	75.7
DPE	D06	1802	1922	93.8
BRE	D06	70	1922	3.6
TATA	D01	182	1546	11.8
Inr	D01	1130	1546	73.1
DPE	D01	1461	1546	94.5
BRE	D01	41	1546	2.7
TATA	D05	181	1872	9.7
Inr	D05	1407	1872	75.2
DPE	D05	1768	1872	94.4
BRE	D05	64	1872	3.4
TATA	D04	207	1804	11.5
Inr	D04	1399	1804	77.5
DPE	D04	1691	1804	93.7
BRE	D04	80	1804	4.4
