gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta_entropy	mean_ctrl_beta	mean_ampu_beta	p_wilcox	expression	padj	entropy_class	n_exons	gene_class	neg_log10p	plot_color	log2FoldChange	padj_de	de_class	combined
LOC_00020916	2462	0.197768589945453	0.180538173939598	-0.0172304160058546	0.229135912833813	0.236881644723142	0.00000000104292419277872	10.0519760829558	0.00000553036626325734	Entropy_Down	286	3+ exon	5.25724610543234	#2471A3	0.368263698398429	0.023567713845982	DE_Up	Entropy_Down_DE_Up
LOC_00023162	4669	0.516436671144601	0.502793935609343	-0.0136427355352588	0.594659531411698	0.604041536749999	0.00000000421384160674283	14.254576191233	0.0000127685420458032	Entropy_Down	222	3+ exon	4.8938586890804	#2471A3	0.298466151329347	0.0178078135303051	DE_Up	Entropy_Down_DE_Up
LOC_00020963	3209	0.371414518670908	0.358162083774492	-0.0132524348964157	0.441213013894454	0.452218892798598	0.0000000421874046601978	10.613073142999	0.000111854630030932	Entropy_Down	965	3+ exon	3.95134603431865	#2471A3	1.15581390377533	0.0000000000000000114410234736334	DE_Up	Entropy_Down_DE_Up
LOC_00019157	863	0.408472007700477	0.372948577726055	-0.035523429974422	0.867558659641681	0.882013533882575	0.00000791540024765449	5.89972017791187	0.00479310379338573	Entropy_Down	76	3+ exon	2.31938316637508	#2471A3	-0.330840945720876	0.0342436573329886	DE_Down	Entropy_Down_DE_Down
LOC_00009719	2145	0.362967129496224	0.346761106623927	-0.0162060228722967	0.405214068200854	0.411540717971301	0.0000162432518621554	8.19295608475549	0.00765634700551509	Entropy_Down	193	3+ exon	2.1159783914322	#2471A3	-0.538697224197506	0.00224412228173332	DE_Down	Entropy_Down_DE_Down
LOC_00024035	1906	0.642937986147947	0.625079927851116	-0.0178580582968307	0.766019814702998	0.779221452531748	0.000020960508924736	7.02527616108047	0.00871751676083481	Entropy_Down	132	3+ exon	2.05960720894986	#2471A3	-0.354859086770856	0.0109052535135846	DE_Down	Entropy_Down_DE_Down
LOC_00003057	2006	0.372789214374551	0.354051182245403	-0.0187380321291481	0.619994806871792	0.628910481882246	0.0000247539203488106	11.150233075741	0.00959748281340023	Entropy_Down	150	3+ exon	2.01784265691852	#2471A3	-0.301083407507761	0.0213582578556675	DE_Down	Entropy_Down_DE_Down
LOC_00011842	1139	0.342305154980588	0.32125707904668	-0.0210480759339076	0.521033776312962	0.540053692592947	0.0000297390052592489	8.16367824757849	0.0101740974282892	Entropy_Down	127	3+ exon	1.99250410783246	#2471A3	-0.43147331134416	0.0123679795358067	DE_Down	Entropy_Down_DE_Down
LOC_00007277	462	0.357101583120933	0.305601174309262	-0.051500408811671	0.489772419473194	0.48339889898217	0.0000306694817716051	6.32566247389814	0.0103258790136114	Entropy_Down	23	3+ exon	1.98607296780601	#2471A3	-0.473881538754882	0.00863825662693317	DE_Down	Entropy_Down_DE_Down
LOC_00004629	1331	0.585673766833563	0.565091846745562	-0.0205819200880011	0.743267947143544	0.756404684498543	0.0000524983498579447	6.33043724329381	0.0150478716059036	Entropy_Down	215	3+ exon	1.82252492300562	#2471A3	-0.545286054076832	0.00485451814739545	DE_Down	Entropy_Down_DE_Down
LOC_00004924	923	0.140510625961553	0.122934706793603	-0.0175759191679496	0.20302459647091	0.203692749040126	0.0000669337220996405	9.96231681102453	0.0171051949331985	Entropy_Down	38	3+ exon	1.76687197216994	#2471A3	-0.279876822615677	0.01245539470151	DE_Down	Entropy_Down_DE_Down
LOC_00018081	212	0.371719955435647	0.317814838370589	-0.0539051170650577	0.44254912580555	0.465150968121435	0.000120141051488338	8.32349673980044	0.023166471301083	Entropy_Down	5	3+ exon	1.63514011257067	#2471A3	0.42152867746614	0.0220701669795162	DE_Up	Entropy_Down_DE_Up
LOC_00006598	2122	0.362627130124012	0.351726075225692	-0.0109010548983194	0.373728420898796	0.383127826146807	0.000140664252555054	4.0234583605906	0.0252694126056411	Entropy_Down	30	3+ exon	1.59740485325593	#2471A3	-0.606011170932196	0.0247400066586064	DE_Down	Entropy_Down_DE_Down
LOC_00004032	462	0.632581901350957	0.604392668418841	-0.0281892329321152	0.740473186462358	0.758360274488352	0.000199148836307588	7.32724901796394	0.031516162963417	Entropy_Down	21	3+ exon	1.50146666254199	#2471A3	-0.396941772628204	0.0312547221248511	DE_Down	Entropy_Down_DE_Down
LOC_00008122	115	0.352425206217668	0.277675811168032	-0.0747493950496359	0.601494175909425	0.615651775647959	0.000212929096045981	8.63821719417988	0.0322602789730807	Entropy_Down	10	3+ exon	1.49133188133808	#2471A3	-0.531544557274145	0.0020149098686128	DE_Down	Entropy_Down_DE_Down
LOC_00023891	956	0.351678728879628	0.334492224192429	-0.0171865046871992	0.383009850297646	0.395045701684879	0.000216667053312663	5.90613190653264	0.0325937933887581	Entropy_Down	61	3+ exon	1.4868650917615	#2471A3	-0.388785533285778	0.0302805609930686	DE_Down	Entropy_Down_DE_Down
LOC_00021552	900	0.304774321042965	0.282011193993619	-0.0227631270493456	0.440240079050981	0.449693536692633	0.000227387543583653	7.06703532444907	0.0332628771513991	Entropy_Down	19	3+ exon	1.47804018816118	#2471A3	2.33945803926868	0.00000000000000000000000000000000000000000000000000473912773001277	DE_Up	Entropy_Down_DE_Up
LOC_00008204	339	0.681060723248191	0.653302356463231	-0.0277583667849597	0.696892498071054	0.724634434484051	0.000328201235061396	6.25917736743745	0.0424480268102882	Entropy_Down	106	3+ exon	1.37214249306009	#2471A3	-0.400648872302854	0.0346424395173551	DE_Down	Entropy_Down_DE_Down
